number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n,dist_to_center,price
1.0,5.0,364.0,30.0,1.0,9.385040504680497,750
3.0,1.0,0.0,21.0,0.0,8.990821781605192,90
5.0,8.0,161.0,12.0,1.0,5.476649209761058,80
0.0,1.0,67.0,30.0,1.0,12.098089429374278,85
3.0,1.0,0.0,22.0,0.0,11.723044591804674,50
4.0,1.0,0.0,12.0,1.0,4.846907471312797,295
0.0,1.0,0.0,23.0,0.0,3.89404272155308,80
0.0,1.0,0.0,19.0,0.0,3.814385520218452,109
16.0,1.0,0.0,11.0,0.0,3.2492072357838637,100
27.0,1.0,339.0,6.0,0.0,8.59273773812245,45
38.0,1.0,243.0,49.0,1.0,6.580265862756454,135
9.0,3.0,124.0,114.0,1.0,7.739473073431715,115
7.0,1.0,341.0,28.0,0.0,3.613349559171998,185
3.0,1.0,42.0,20.0,1.0,3.3606208215710263,150
0.0,232.0,312.0,26.0,1.0,2.071166021699819,290
5.0,2.0,0.0,100.0,0.0,14.546859978042736,80
26.0,3.0,0.0,21.0,0.0,9.82091304592743,65
3.0,2.0,242.0,24.0,0.0,11.279769114595615,45
127.0,1.0,7.0,54.0,1.0,11.691752243287299,80
5.0,3.0,365.0,124.0,0.0,14.772510992590115,75
15.0,1.0,213.0,2.0,0.0,7.455875949553381,69
28.0,1.0,0.0,56.0,0.0,5.937740964294296,65
0.0,1.0,0.0,6.0,0.0,8.342255143187563,60
3.0,1.0,0.0,68.0,1.0,2.398750839548421,195
19.0,3.0,106.0,2.0,0.0,6.595896396797505,69
2.0,1.0,0.0,49.0,1.0,6.708400820743773,160
12.0,1.0,0.0,12.0,1.0,5.649471723481161,150
0.0,2.0,0.0,19.0,0.0,3.7528811446004244,250
0.0,1.0,0.0,3.0,1.0,7.248111897785877,90
4.0,1.0,129.0,1.0,1.0,1.2670807156570925,235
0.0,7.0,230.0,71.0,0.0,0.540531762339791,100
0.0,1.0,15.0,28.0,1.0,2.0367461471663884,239
0.0,1.0,32.0,2.0,1.0,6.326928279908733,65
19.0,1.0,228.0,98.0,1.0,8.07978982550168,115
30.0,1.0,282.0,183.0,1.0,23.476563368218137,60
1.0,1.0,173.0,21.0,0.0,8.165624140673778,60
0.0,1.0,0.0,19.0,0.0,3.973335198976855,45
2.0,1.0,0.0,23.0,1.0,4.148490887884928,300
9.0,2.0,0.0,31.0,0.0,7.559592832116187,35
5.0,4.0,98.0,21.0,0.0,9.700688451695575,69
5.0,1.0,301.0,19.0,1.0,3.0985126458134453,198
3.0,1.0,0.0,19.0,1.0,3.358558675026255,100
47.0,4.0,249.0,99.0,0.0,9.361726946071977,60
0.0,1.0,179.0,6.0,0.0,9.099850411784324,225
19.0,4.0,328.0,54.0,1.0,13.940205437849253,325
9.0,1.0,286.0,8.0,1.0,2.250747168332572,350
0.0,1.0,0.0,20.0,0.0,4.386035756574382,45
2.0,1.0,341.0,5.0,1.0,1.5762521810067371,200
45.0,1.0,190.0,13.0,1.0,7.3523326886060785,100
64.0,1.0,194.0,35.0,1.0,15.348359624075496,125
5.0,3.0,365.0,84.0,0.0,12.207430890046748,68
47.0,2.0,91.0,6.0,1.0,9.506497481055112,115
2.0,1.0,36.0,12.0,0.0,6.527211027146791,55
1.0,1.0,0.0,25.0,1.0,4.556661639977083,65
3.0,1.0,9.0,8.0,1.0,3.592523608641394,300
52.0,1.0,3.0,68.0,1.0,2.3697324885093205,100
98.0,1.0,278.0,1.0,0.0,1.8798801229167468,98
3.0,1.0,0.0,6.0,1.0,9.097439612223317,100
0.0,1.0,5.0,8.0,1.0,3.4612247968073264,165
4.0,1.0,95.0,21.0,0.0,9.972922724723803,55
0.0,1.0,363.0,144.0,0.0,13.54433316152956,149
6.0,4.0,0.0,23.0,0.0,5.013651426486126,102
52.0,4.0,355.0,2.0,0.0,8.758226177470364,85
15.0,1.0,179.0,3.0,0.0,8.501603893293527,89
26.0,1.0,74.0,17.0,0.0,11.003536064332707,45
3.0,1.0,0.0,77.0,1.0,4.35962743206088,299
1.0,1.0,0.0,25.0,1.0,2.699931455322108,130
88.0,1.0,176.0,8.0,0.0,2.656123392594372,93
